date,Overseas acquired,Known local source,Known local source inside HQ,Unknown local source (community spread),Interstate travel,Under investigation,Not yet announced
20-Apr,16,0,0,0,0,0,0
21-Apr,18,0,1,0,0,0,0
22-Apr,23,0,2,0,0,0,0
23-Apr,37,0,0,0,1,0,0
24-Apr,15,1,0,0,0,0,0
25-Apr,7,1,0,0,0,0,0
26-Apr,28,0,0,0,0,0,0
27-Apr,23,0,0,0,0,0,0
28-Apr,26,0,0,0,0,0,0
29-Apr,27,0,0,0,0,0,0
30-Apr,22,0,0,0,0,0,0
1-May,10,0,0,0,0,0,0
2-May,8,3,0,0,0,0,0
3-May,15,0,0,0,0,0,0
4-May,11,0,0,0,0,0,0
5-May,13,0,0,0,0,1,0
6-May,20,1,0,0,0,0,0
7-May,10,0,0,0,0,0,0
8-May,9,0,0,0,0,0,0
9-May,17,0,0,0,0,0,0
10-May,9,0,0,0,0,0,0
11-May,7,0,0,0,1,0,0
12-May,8,0,0,0,0,0,0
13-May,6,0,0,0,0,0,0
14-May,2,0,0,0,0,0,0
15-May,8,0,0,0,0,0,0
16-May,8,0,0,0,0,0,0
17-May,4,0,0,0,0,0,0
18-May,10,0,0,0,0,0,0
